Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
D1,Men,Swimming & Diving,2023,110635,California,University of California-Berkeley,university of california berkeley,university of california berkeley,exact
D1,Men,Swimming & Diving,2022,110635,California,University of California-Berkeley,university of california berkeley,university of california berkeley,exact
D1,Men,Swimming & Diving,2021,228778,Texas,The University of Texas at Austin,university of texas at austin,university of texas at austin,exact
D1,Men,Swimming & Diving,2019,110635,California,University of California-Berkeley,university of california berkeley,university of california berkeley,exact
D1,Men,Swimming & Diving,2018,228778,Texas,The University of Texas at Austin,university of texas at austin,university of texas at austin,exact
D1,Men,Swimming & Diving,2017,228778,Texas,The University of Texas at Austin,university of texas at austin,university of texas at austin,exact
D1,Men,Swimming & Diving,2016,228778,Texas,The University of Texas at Austin,university of texas at austin,university of texas at austin,exact
D1,Men,Swimming & Diving,2015,228778,Texas,The University of Texas at Austin,university of texas at austin,university of texas at austin,exact
D1,Men,Swimming & Diving,2014,110635,California,University of California-Berkeley,university of california berkeley,university of california berkeley,exact
D1,Men,Swimming & Diving,2013,170976,Michigan,University of Michigan-Ann Arbor,university of michigan ann arbor,university of michigan ann arbor,exact
D1,Men,Swimming & Diving,2012,110635,California,University of California-Berkeley,university of california berkeley,university of california berkeley,exact
D1,Men,Swimming & Diving,2011,110635,California,University of California-Berkeley,university of california berkeley,university of california berkeley,exact
D1,Men,Swimming & Diving,2010,228778,Texas,The University of Texas at Austin,university of texas at austin,university of texas at austin,exact
D1,Men,Swimming & Diving,2009,100858,Auburn,Auburn University,auburn university,auburn university,exact
D1,Men,Swimming & Diving,2008,104179,Arizona,University of Arizona,university of arizona,university of arizona,exact
D1,Men,Swimming & Diving,2007,100858,Auburn,Auburn University,auburn university,auburn university,exact
D1,Men,Swimming & Diving,2006,100858,Auburn,Auburn University,auburn university,auburn university,exact
D1,Men,Swimming & Diving,2005,100858,Auburn,Auburn University,auburn university,auburn university,exact
D1,Men,Swimming & Diving,2004,100858,Auburn,Auburn University,auburn university,auburn university,exact
