Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
D3,Women,Swimming & Diving,2023,202523,Denison,Denison University,denison,denison university,fuzzy
D3,Women,Swimming & Diving,2022,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Women,Swimming & Diving,2019,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2018,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2017,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2016,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2015,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2014,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2013,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2012,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2011,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2010,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2009,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Women,Swimming & Diving,2008,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Women,Swimming & Diving,2007,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
D3,Women,Swimming & Diving,2006,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2005,139658,Emory,Emory University,emory,emory university,fuzzy
D3,Women,Swimming & Diving,2004,203535,Kenyon,Kenyon College,kenyon,kenyon college,alias
