Division,Gender,Sport,Year,UNITID,Champion,INSTNM,Champion_NORM,INSTNM_NORM,type_of_match
NC,Women,Gymnastics,2023,207500,Oklahoma,University of Oklahoma-Norman Campus,university of oklahoma norman campus,university of oklahoma norman campus,exact
NC,Women,Gymnastics,2022,207500,Oklahoma,University of Oklahoma-Norman Campus,university of oklahoma norman campus,university of oklahoma norman campus,exact
NC,Women,Gymnastics,2021,170976,Michigan,University of Michigan-Ann Arbor,university of michigan ann arbor,university of michigan ann arbor,exact
NC,Women,Gymnastics,2019,207500,Oklahoma,University of Oklahoma-Norman Campus,university of oklahoma norman campus,university of oklahoma norman campus,exact
NC,Women,Gymnastics,2018,110662,UCLA,University of California-Los Angeles,university of california los angeles,university of california los angeles,exact
NC,Women,Gymnastics,2017,207500,Oklahoma,University of Oklahoma-Norman Campus,university of oklahoma norman campus,university of oklahoma norman campus,exact
NC,Women,Gymnastics,2016,207500,Oklahoma,University of Oklahoma-Norman Campus,university of oklahoma norman campus,university of oklahoma norman campus,exact
NC,Women,Gymnastics,2015,134130,Florida,University of Florida,university of florida,university of florida,exact
NC,Women,Gymnastics,2013,134130,Florida,University of Florida,university of florida,university of florida,exact
NC,Women,Gymnastics,2012,100751,Alabama,The University of Alabama,university of alabama,university of alabama,exact
NC,Women,Gymnastics,2011,100751,Alabama,The University of Alabama,university of alabama,university of alabama,exact
NC,Women,Gymnastics,2010,110662,UCLA,University of California-Los Angeles,university of california los angeles,university of california los angeles,exact
NC,Women,Gymnastics,2009,139959,Georgia,University of Georgia,university of georgia,university of georgia,exact
NC,Women,Gymnastics,2008,139959,Georgia,University of Georgia,university of georgia,university of georgia,exact
NC,Women,Gymnastics,2007,139959,Georgia,University of Georgia,university of georgia,university of georgia,exact
NC,Women,Gymnastics,2006,139959,Georgia,University of Georgia,university of georgia,university of georgia,exact
NC,Women,Gymnastics,2005,139959,Georgia,University of Georgia,university of georgia,university of georgia,exact
NC,Women,Gymnastics,2004,110662,UCLA,University of California-Los Angeles,university of california los angeles,university of california los angeles,exact
